model,language,category,total,correct,accuracy
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ru,math,68,49,0.720588
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ru,physics,65,43,0.661538
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ru,computer science,20,11,0.55
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ru,philosophy,25,13,0.52
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ru,engineering,48,14,0.291667
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,pt,all,588,336,0.571429
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,pt,business,40,27,0.675
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,pt,law,48,11,0.229167
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,pt,psychology,40,23,0.575
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,pt,biology,36,28,0.777778
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,pt,chemistry,56,30,0.535714
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,pt,history,19,8,0.421053
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,pt,other,46,20,0.434783
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,pt,health,35,25,0.714286
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,pt,economics,42,32,0.761905
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,pt,math,68,52,0.764706
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,pt,physics,65,40,0.615385
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,pt,computer science,20,14,0.7
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,pt,philosophy,25,13,0.52
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,pt,engineering,48,13,0.270833
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,fr,all,588,335,0.569728
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,fr,business,40,25,0.625
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,fr,law,48,11,0.229167
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,fr,psychology,40,22,0.55
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,fr,biology,36,28,0.777778
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,fr,chemistry,56,34,0.607143
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,fr,history,19,9,0.473684
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,fr,other,46,21,0.456522
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,fr,health,35,24,0.685714
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,fr,economics,42,29,0.690476
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,fr,math,68,50,0.735294
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,fr,physics,65,43,0.661538
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,fr,computer science,20,10,0.5
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,fr,philosophy,25,15,0.6
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,fr,engineering,48,14,0.291667
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,yo,all,288,73,0.253472
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,yo,business,40,11,0.275
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,yo,law,48,5,0.104167
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,yo,psychology,40,8,0.2
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,yo,biology,36,13,0.361111
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,yo,chemistry,56,23,0.410714
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,yo,history,19,4,0.210526
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,yo,other,46,9,0.195652
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,yo,health,3,0,0.0
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zh,all,588,315,0.535714
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zh,business,40,21,0.525
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zh,law,48,7,0.145833
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zh,psychology,40,24,0.6
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zh,biology,36,28,0.777778
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zh,chemistry,56,32,0.571429
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zh,history,19,7,0.368421
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zh,other,46,15,0.326087
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zh,health,35,18,0.514286
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zh,economics,42,30,0.714286
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zh,math,68,54,0.794118
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zh,physics,65,41,0.630769
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zh,computer science,20,12,0.6
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zh,philosophy,25,13,0.52
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zh,engineering,48,13,0.270833
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,de,all,588,333,0.566327
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,de,business,40,27,0.675
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,de,law,48,10,0.208333
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,de,psychology,40,24,0.6
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,de,biology,36,27,0.75
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,de,chemistry,56,38,0.678571
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,de,history,19,7,0.368421
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,de,other,46,18,0.391304
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,de,health,35,22,0.628571
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,de,economics,42,31,0.738095
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,de,math,68,51,0.75
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,de,physics,65,42,0.646154
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,de,computer science,20,11,0.55
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,de,philosophy,25,13,0.52
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,de,engineering,48,12,0.25
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,en,all,588,344,0.585034
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,en,business,40,28,0.7
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,en,law,48,13,0.270833
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,en,psychology,40,28,0.7
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,en,biology,36,29,0.805556
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,en,chemistry,56,34,0.607143
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,en,history,19,8,0.421053
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,en,other,46,19,0.413043
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,en,health,35,25,0.714286
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,en,economics,42,30,0.714286
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,en,math,68,53,0.779412
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,en,physics,65,44,0.676923
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,en,computer science,20,7,0.35
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,en,philosophy,25,13,0.52
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,en,engineering,48,13,0.270833
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,sw,all,588,172,0.292517
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,sw,business,40,10,0.25
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,sw,law,48,2,0.041667
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,sw,psychology,40,10,0.25
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,sw,biology,36,15,0.416667
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,sw,chemistry,56,27,0.482143
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,sw,history,19,3,0.157895
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,sw,other,46,8,0.173913
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,sw,health,35,13,0.371429
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,sw,economics,42,8,0.190476
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,sw,math,68,33,0.485294
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,sw,physics,65,21,0.323077
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,sw,computer science,20,4,0.2
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,sw,philosophy,25,3,0.12
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,sw,engineering,48,15,0.3125
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zu,all,588,157,0.267007
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zu,business,40,12,0.3
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zu,law,48,4,0.083333
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zu,psychology,40,9,0.225
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zu,biology,36,17,0.472222
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zu,chemistry,56,22,0.392857
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zu,history,19,2,0.105263
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zu,other,46,5,0.108696
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zu,health,35,5,0.142857
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zu,economics,42,11,0.261905
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zu,math,68,30,0.441176
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zu,physics,65,17,0.261538
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zu,computer science,20,8,0.4
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zu,philosophy,25,5,0.2
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,zu,engineering,48,10,0.208333
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ar,all,588,316,0.537415
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ar,business,40,26,0.65
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ar,law,48,10,0.208333
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ar,psychology,40,23,0.575
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ar,biology,36,29,0.805556
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ar,chemistry,56,32,0.571429
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ar,history,19,7,0.368421
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ar,other,46,19,0.413043
