model,dataset_type,jsonl_file,total,correct,accuracy,acc_mean,acc_std,n_files
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu_prox,de.jsonl,588,227,0.386054,0.385568,0.038964,7
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu_prox,en.jsonl,588,259,0.440476,0.385568,0.038964,7
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu_prox,ru.jsonl,588,242,0.411565,0.385568,0.038964,7
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu_prox,zh.jsonl,588,227,0.386054,0.385568,0.038964,7
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu,logical_fallacies.jsonl,163,117,0.717791,0.65595,0.129809,16
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu,sociology.jsonl,201,151,0.751244,0.65595,0.129809,16
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu,college_biology.jsonl,144,104,0.722222,0.65595,0.129809,16
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu,high_school_macroeconomics.jsonl,390,271,0.694872,0.65595,0.129809,16
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu,professional_accounting.jsonl,282,132,0.468085,0.65595,0.129809,16
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu,abstract_algebra.jsonl,100,43,0.43,0.65595,0.129809,16
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu,philosophy.jsonl,311,208,0.66881,0.65595,0.129809,16
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu,nutrition.jsonl,306,197,0.643791,0.65595,0.129809,16
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu,high_school_psychology.jsonl,545,445,0.816514,0.65595,0.129809,16
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu,high_school_government_and_politics.jsonl,193,160,0.829016,0.65595,0.129809,16
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu,college_physics.jsonl,102,64,0.627451,0.65595,0.129809,16
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu,college_chemistry.jsonl,100,54,0.54,0.65595,0.129809,16
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu,global_facts.jsonl,100,41,0.41,0.65595,0.129809,16
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu,high_school_european_history.jsonl,165,121,0.733333,0.65595,0.129809,16
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu,high_school_world_history.jsonl,237,179,0.755274,0.65595,0.129809,16
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu,clinical_knowledge.jsonl,265,182,0.686792,0.65595,0.129809,16
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu_prox,sw.jsonl,588,192,0.326531,0.394072,0.036984,7
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu_prox,ar.jsonl,588,222,0.377551,0.394072,0.036984,7
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu_prox,vi.jsonl,588,239,0.406463,0.394072,0.036984,7
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu_prox,ru.jsonl,588,240,0.408163,0.394072,0.036984,7
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu_prox,zh.jsonl,588,233,0.396259,0.394072,0.036984,7
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu_prox,de.jsonl,588,232,0.394558,0.394072,0.036984,7
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu_prox,en.jsonl,588,264,0.44898,0.394072,0.036984,7
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu,global_facts.jsonl,100,40,0.4,0.64909,0.142533,16
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu,high_school_macroeconomics.jsonl,390,258,0.661538,0.64909,0.142533,16
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu,clinical_knowledge.jsonl,265,176,0.664151,0.64909,0.142533,16
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu,philosophy.jsonl,311,200,0.643087,0.64909,0.142533,16
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu,college_chemistry.jsonl,100,46,0.46,0.64909,0.142533,16
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu,sociology.jsonl,201,150,0.746269,0.64909,0.142533,16
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu,high_school_world_history.jsonl,237,178,0.751055,0.64909,0.142533,16
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu,college_biology.jsonl,144,103,0.715278,0.64909,0.142533,16
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu,high_school_psychology.jsonl,545,455,0.834862,0.64909,0.142533,16
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu,high_school_european_history.jsonl,165,117,0.709091,0.64909,0.142533,16
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu,nutrition.jsonl,306,203,0.663399,0.64909,0.142533,16
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu,logical_fallacies.jsonl,163,118,0.723926,0.64909,0.142533,16
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu,abstract_algebra.jsonl,100,38,0.38,0.64909,0.142533,16
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu,college_physics.jsonl,102,67,0.656863,0.64909,0.142533,16
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu,professional_accounting.jsonl,282,144,0.510638,0.64909,0.142533,16
gemma-3-4b-it__adapter__sft_sib200__gemma3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_101220,mmlu,high_school_government_and_politics.jsonl,193,167,0.865285,0.64909,0.142533,16
gemma-3-4b-it__base,mmlu,logical_fallacies.jsonl,198,145,0.732323,0.65356,0.133781,16
gemma-3-4b-it__base,mmlu,high_school_macroeconomics.jsonl,588,396,0.673469,0.65356,0.133781,16
gemma-3-4b-it__base,mmlu,sociology.jsonl,242,181,0.747934,0.65356,0.133781,16
gemma-3-4b-it__base,mmlu,philosophy.jsonl,398,264,0.663317,0.65356,0.133781,16
gemma-3-4b-it__base,mmlu,high_school_world_history.jsonl,312,239,0.766026,0.65356,0.133781,16
gemma-3-4b-it__base,mmlu,high_school_psychology.jsonl,898,749,0.834076,0.65356,0.133781,16
gemma-3-4b-it__base,mmlu,high_school_european_history.jsonl,202,150,0.742574,0.65356,0.133781,16
gemma-3-4b-it__base,mmlu,college_biology.jsonl,144,106,0.736111,0.65356,0.133781,16
gemma-3-4b-it__base,mmlu,abstract_algebra.jsonl,100,46,0.46,0.65356,0.133781,16
gemma-3-4b-it__base,mmlu,professional_accounting.jsonl,340,165,0.485294,0.65356,0.133781,16
gemma-3-4b-it__base,mmlu,clinical_knowledge.jsonl,306,203,0.663399,0.65356,0.133781,16
gemma-3-4b-it__base,mmlu,high_school_government_and_politics.jsonl,193,159,0.823834,0.65356,0.133781,16
gemma-3-4b-it__base,mmlu,college_chemistry.jsonl,100,49,0.49,0.65356,0.133781,16
gemma-3-4b-it__base,mmlu,global_facts.jsonl,100,39,0.39,0.65356,0.133781,16
gemma-3-4b-it__base,mmlu,college_physics.jsonl,102,63,0.617647,0.65356,0.133781,16
gemma-3-4b-it__base,mmlu,nutrition.jsonl,420,265,0.630952,0.65356,0.133781,16
gemma-3-4b-it__base,mmlu_prox,en.jsonl,620,275,0.443548,0.38341,0.046465,7
gemma-3-4b-it__base,mmlu_prox,de.jsonl,620,246,0.396774,0.38341,0.046465,7
gemma-3-4b-it__base,mmlu_prox,zh.jsonl,620,238,0.383871,0.38341,0.046465,7
gemma-3-4b-it__base,mmlu_prox,ru.jsonl,620,253,0.408065,0.38341,0.046465,7
gemma-3-4b-it__base,mmlu_prox,vi.jsonl,620,241,0.38871,0.38341,0.046465,7
gemma-3-4b-it__base,mmlu_prox,ar.jsonl,620,230,0.370968,0.38341,0.046465,7
gemma-3-4b-it__base,mmlu_prox,sw.jsonl,620,181,0.291935,0.38341,0.046465,7
Qwen3-4B__base,mmlu_prox,vi.jsonl,588,326,0.554422,0.513848,0.102227,7
Qwen3-4B__base,mmlu_prox,ar.jsonl,588,305,0.518707,0.513848,0.102227,7
Qwen3-4B__base,mmlu_prox,sw.jsonl,588,171,0.290816,0.513848,0.102227,7
Qwen3-4B__base,mmlu_prox,en.jsonl,588,342,0.581633,0.513848,0.102227,7
Qwen3-4B__base,mmlu_prox,de.jsonl,588,324,0.55102,0.513848,0.102227,7
Qwen3-4B__base,mmlu_prox,zh.jsonl,588,302,0.513605,0.513848,0.102227,7
Qwen3-4B__base,mmlu_prox,ru.jsonl,588,345,0.586735,0.513848,0.102227,7
Qwen3-4B__base,mmlu,college_chemistry.jsonl,100,60,0.6,0.803365,0.118106,16
Qwen3-4B__base,mmlu,college_physics.jsonl,102,93,0.911765,0.803365,0.118106,16
Qwen3-4B__base,mmlu,high_school_psychology.jsonl,545,503,0.922936,0.803365,0.118106,16
Qwen3-4B__base,mmlu,high_school_macroeconomics.jsonl,390,339,0.869231,0.803365,0.118106,16
Qwen3-4B__base,mmlu,global_facts.jsonl,100,49,0.49,0.803365,0.118106,16
Qwen3-4B__base,mmlu,sociology.jsonl,201,165,0.820896,0.803365,0.118106,16
Qwen3-4B__base,mmlu,logical_fallacies.jsonl,163,139,0.852761,0.803365,0.118106,16
Qwen3-4B__base,mmlu,high_school_government_and_politics.jsonl,193,179,0.927461,0.803365,0.118106,16
Qwen3-4B__base,mmlu,abstract_algebra.jsonl,100,83,0.83,0.803365,0.118106,16
Qwen3-4B__base,mmlu,philosophy.jsonl,311,220,0.707395,0.803365,0.118106,16
Qwen3-4B__base,mmlu,college_biology.jsonl,144,127,0.881944,0.803365,0.118106,16
Qwen3-4B__base,mmlu,nutrition.jsonl,306,237,0.77451,0.803365,0.118106,16
Qwen3-4B__base,mmlu,high_school_world_history.jsonl,237,202,0.852321,0.803365,0.118106,16
Qwen3-4B__base,mmlu,high_school_european_history.jsonl,165,136,0.824242,0.803365,0.118106,16
Qwen3-4B__base,mmlu,clinical_knowledge.jsonl,265,217,0.818868,0.803365,0.118106,16
Qwen3-4B__base,mmlu,professional_accounting.jsonl,282,217,0.769504,0.803365,0.118106,16
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu,high_school_macroeconomics.jsonl,390,344,0.882051,0.799716,0.13178,16
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu,college_physics.jsonl,102,96,0.941176,0.799716,0.13178,16
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu,abstract_algebra.jsonl,100,82,0.82,0.799716,0.13178,16
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu,clinical_knowledge.jsonl,265,217,0.818868,0.799716,0.13178,16
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu,philosophy.jsonl,311,223,0.717042,0.799716,0.13178,16
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu,college_chemistry.jsonl,100,60,0.6,0.799716,0.13178,16
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu,professional_accounting.jsonl,282,207,0.734043,0.799716,0.13178,16
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu,sociology.jsonl,201,162,0.80597,0.799716,0.13178,16
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu,high_school_european_history.jsonl,165,135,0.818182,0.799716,0.13178,16
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu,high_school_psychology.jsonl,545,503,0.922936,0.799716,0.13178,16
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu,college_biology.jsonl,144,129,0.895833,0.799716,0.13178,16
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu,global_facts.jsonl,100,43,0.43,0.799716,0.13178,16
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu,logical_fallacies.jsonl,163,140,0.858896,0.799716,0.13178,16
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu,high_school_world_history.jsonl,237,202,0.852321,0.799716,0.13178,16
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu,high_school_government_and_politics.jsonl,193,177,0.917098,0.799716,0.13178,16
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu,nutrition.jsonl,306,239,0.781046,0.799716,0.13178,16
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu_prox,vi.jsonl,588,325,0.552721,0.527454,0.104719,7
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu_prox,ar.jsonl,588,318,0.540816,0.527454,0.104719,7
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu_prox,sw.jsonl,588,173,0.294218,0.527454,0.104719,7
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu_prox,en.jsonl,588,354,0.602041,0.527454,0.104719,7
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu_prox,de.jsonl,588,335,0.569728,0.527454,0.104719,7
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu_prox,zh.jsonl,588,327,0.556122,0.527454,0.104719,7
Qwen3-4B__adapter__sft_sib200__qwen3_4b__1flip_1edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__lora_all__260330_104648,mmlu_prox,ru.jsonl,588,339,0.576531,0.527454,0.104719,7
